id,text,created_at
1601442185026719745,The human capacity for burden is like bamboo - far more flexible than you'd ever believe at first glance. - Jodi Picoult#quote #covid19 https://t.co/3jDSR3O6Ra,2022-12-10T05:02:24.000Z
1601438574993608705,"A variety of essential health services in India slowed down during the #Covid19 pandemic, resulting in a fall in measles vaccination rates and the current outbreak, @thePHFI's K. Srinath Reddy explains. Read more in our special #interview https://t.co/JDDhAWyG9f",2022-12-10T04:48:04.000Z
1601436582895943680,"#SeeingisBelieving As China further optimizes its #COVID19 prevention and control measures, people in NW China's Xinjiang Uygur Autonomous Region are seen trying out winter sports at ski resorts, shopping for food and necessities, and buying flowers and plants from vendors. https://t.co/JCngSlbTGa",2022-12-10T04:40:09.000Z
1601435863116034049,"I have been saying this - if India is safe &amp; running today and has not shut down like China, it is solely due to @AstraZeneca &amp; @SerumInstIndia ! Bharta Biotech could not ramp up their production in time &amp; none of the other companies making #COVID19 #vaccines could deliver ! https://t.co/Stbz8jw1WU",2022-12-10T04:37:17.000Z
1601430850670764032,"""Avoid emotions by making jokes...."" WOW. Watching this is why I got #COVID19. Everything for a reason.",2022-12-10T04:17:22.000Z
1601426538037026816,This week #heartattack was trending for two days in a row on Twitter. Videos of several Indians dropping dead after suffering cardiac arrests has been doing the rounds. We analyse the reasons behind it. #Health360 @IndiaToday #COVID19 #Stress #lifestyle #diabetes https://t.co/26LefpCI6O,2022-12-10T04:00:14.000Z
1601425368539627521,Many EU Members Face 'Oversupply' of #COVID19 Vaccines - Council of EU https://t.co/7oeTJd4wOq https://t.co/tcmQV1b9zN,2022-12-10T03:55:35.000Z
1601424199771426817,"The central government closely monitors #COVID19 vaccine stocks in states and Union territories so as to ensure their optimal utilisation and minimal wastage, Union min Bharati Pravin Pawar said https://t.co/atDkWAQUpa",2022-12-10T03:50:56.000Z
1601423962038157313,"New #Omicron subvariants BQ.1 and BQ.1.1 accounted for nearly 70 percent of new #COVID19 cases in the United States in the latest week, according to estimates released Friday by the #US Centers for Disease Control and Prevention (CDC).https://t.co/fH9ojX0Ws3",2022-12-10T03:50:00.000Z
1601422956139515905,"North Korea's main newspaper lauded the country's ""victory"" over the #COVID19 pandemic as its greatest achievement for this year amid ongoing efforts to highlight the leadership of Kim Jong-un.",2022-12-10T03:46:00.000Z
1601418929770926080,"#China’s #economy is facing its worst crisis in 40 years. The rising inflation and the rate of unemployment among the youth which has reached nearly 20%, were key elements that spurred the countrywide protests.#Covid19✍️ Pranay Sharmahttps://t.co/P6sU6ZnFc2",2022-12-10T03:30:00.000Z
1601413896148901888,"#MiddayNews |#Mumbai: ‘Thanks to #BMC, I fed my family in the pandemic’Via: Suraj Pandey#Covid19 #Covid #Corona #CoronaVirus #CovidPandemic #MumbaiNews https://t.co/cwomZQOSzH",2022-12-10T03:10:00.000Z
1601411564887760896,#COVID19 continues to impact #claims experience. Insurers note that people are experiencing the effects of disrupted care alongside ongoing COVID claims in part due to deferred care. How will this impact #healthcare in the future? https://t.co/btRYYfGQuv #benefits https://t.co/iB1mFl4j2m,2022-12-10T03:00:44.000Z
1601410044637360128,#COVID19 vaccination rates in Cambodia as of 9 December 2022 https://t.co/vzKqsplPQV,2022-12-10T02:54:42.000Z
1601406043338473472,Wahl was married to @celinegounder who served on the #COVID19 Advisory Board transition team for @JoeBiden.,2022-12-10T02:38:48.000Z
1601405236794773504,Stay fit with yoga! 🧘🏻‍♀️🧘🏻‍♂️Watch live yoga and interactive session with experts organized by Ministry of Ayush under 𝐘𝐨𝐠𝐚 𝐀𝐝𝐯𝐢𝐬𝐨𝐫𝐲 𝐟𝐨𝐫 𝐇𝐨𝐦𝐞 𝐈𝐬𝐨𝐥𝐚𝐭𝐞𝐝 #𝐂𝐎𝐕𝐈𝐃𝟏𝟗 𝐩𝐚𝐭𝐢𝐞𝐧𝐭𝐬 https://t.co/nynxjJ4hJ4,2022-12-10T02:35:35.000Z
1601403192616833026,I never thought Biden and Dems could be WORSE than Trump on #COVID19. But sure enough... https://t.co/VSj3l8R6nt,2022-12-10T02:27:28.000Z
1601397286516432898,"#COVID19 is still around. Help protect your loved ones from serious illness and death from the #coronavirus by encouraging them to get their recommended doses of a COVID-19 vaccine, including a booster dose. https://t.co/aAEGZG80tJ",2022-12-10T02:04:00.000Z
1601393762999144448,"A great challenge for #Germany’s NSS will be to confront the crises that are unfurling such as the #RussiaUkraineWar, #climate change, and the #COVID19 pandemic, states @TorbenArnold https://t.co/m26LLXX4M1",2022-12-10T01:50:00.000Z
1601387475129204736,"A @USArmy captain was separated from the service for refusing to get a #COVID19 vaccine, even as the GOP attempts to roll back @SecDef’s military #VaccineMandate.Younts believes vaccine “coercion” will continue, even if the mandate is rescinded. https://t.co/MfzwlieFhT",2022-12-10T01:25:01.000Z
1601387471819853825,China has made a slew of rule adjustments to improve #COVID19 prevention and control measures in the transportation sector. https://t.co/6kGaU1aAd1,2022-12-10T01:25:00.000Z
1601386826702508035,"By @SuziAnn2 for @Bloomberg:""The @NYCHealthCommr on Friday issued a health advisory urging residents to #MaskUp in public indoor &amp; crowded outdoor settings...as the city experiences 'unusually high concurrent spikes' in #COVID19, #flu &amp; #RSV...""https://t.co/F1F1FNSdWx",2022-12-10T01:22:26.000Z
1601380995583954947,"The newly approved bivalent boosters for the state’s youngest children are expected to arrive early next week, and health care providers can administer them as soon as they arrive, health officials said today. https://t.co/sxtcNYRAjY #Hawaii #HInews #COVID19 #StarAdvertiser",2022-12-10T00:59:16.000Z
1601376850571579393,"After yesterday's @FDA authorization of updated #COVID19 vaccines for kids, ages 6 months to 5 years, @CDC issues its recommendation, allowing updated boosters to be administered to the youngest age group.https://t.co/vsYdxreAVN",2022-12-10T00:42:47.000Z
1601372812027260928,"@NYCAntipodean @wyvernsrose Mammography is one of the safest spaces in that regard. Only one patient at a time, social distancing by necessity (because radiation) and excellent ventilation in most radiology depts because machines overheat easily. That's one reason we never closed screening through #COVID19",2022-12-10T00:26:45.000Z
1601372406916022273,"""Final Vote on #California’s Anticipated New Non-Emergency Regulation for #COVID19 Prevention to Take Place on December 15, 2022"" @sacbee_news https://t.co/Eb2imc1ise",2022-12-10T00:25:08.000Z
1601370897054519296,"Will the actions proposed in the @WHO conceptual zero draft for a #pandemictreaty, in the way in which they are formulated, prevent that a situation like the one experienced during #COVID19 be repeated? READ @South_Centre statement: https://t.co/7tmC5su0XC https://t.co/RhpySQRHWn",2022-12-10T00:19:08.000Z
1601370633232957444,Get tested if you have #COVID19 symptoms or 5-7 days after exposure to someone who is positive or who you believe is positive. Find a testing location: https://t.co/MAXE8sHyT4 https://t.co/9KjSR0WxLe,2022-12-10T00:18:05.000Z
1601370044503465984,"“This isn’t rocket science. We know vaccines reduce risk. I want to align vaccine recommendations at minimum with the US,” MP and Dr @michrajah said. “I want more pragmatism to enter our policy making.” #auspol #covid19 #longcovid https://t.co/qqdyCFe5Ct",2022-12-10T00:15:45.000Z
1601369352153882624,Our Pandemic Research Project has released its final report on how the #COVID19 pandemic has affected the #mentalhealth and wellbeing of women with #disability. This project was funded by the National Mental Health and Wellbeing Pandemic Response Plan. https://t.co/7iZFI6Pp3h,2022-12-10T00:13:00.000Z
1601366222188253184,Atypical Hemolytic Uremic Syndrome Occurring After Receipt of mRNA-1273 COVID-19 Vaccine Booster: A Case Report https://t.co/2KhNqenI2D  (FREE)@KathleenClaes1 #COVID19 https://t.co/NR96TPfsqJ,2022-12-10T00:00:33.000Z
